,PostalCode,Neighborhood,Jabalpur,Latitude,Longitude
0,482004 ,Adhartal,Jabalpur ,23.21973500000007,79.94580642200003
1,482001 ,Agasaud,Jabalpur ,23.149730000000034,79.94482074000007
2,482003 ,Amahinota,Jabalpur ,23.049765000000036,79.69894496700005
3,482004 ,Amkhera,Jabalpur ,23.21973500000007,79.94580642200003
4,482004 ,Anand Nagar,Jabalpur ,23.21973500000007,79.94580642200003
5,482004 ,Anandnagar,Jabalpur ,23.21973500000007,79.94580642200003
6,482001 ,Archha,Jabalpur ,23.149730000000034,79.94482074000007
7,483113 ,Badhaiyakheda,Jabalpur ,23.325300000000027,79.73652158400006
8,483220 ,Badkheda,Jabalpur ,23.30243500000006,80.07077874800007
9,483110 ,Badkhera,Jabalpur ,23.23222000000004,80.37146371800003
10,482001 ,Baghraji,Jabalpur ,23.149730000000034,79.94482074000007
11,482001 ,Bai Ka bagicha,Jabalpur ,23.149730000000034,79.94482074000007
12,483440 ,Bandhi,Jabalpur ,23.64563000000004,80.26139000000006
13,482021 ,Barbati,Jabalpur ,23.03093034400007,79.97768000000008
14,483001 ,Barela,Jabalpur ,23.102175000000045,80.10621509500004
15,483225 ,Bargi,Jabalpur ,23.504345000000058,80.11265513900008
16,483050 ,Bargi  ipc,Jabalpur ,23.174180000000035,79.93136000000004
17,482056 ,Bargi Nagar,Jabalpur ,22.910115000000076,79.91077973300008
18,483220 ,Baroda,Jabalpur ,23.30243500000006,80.07077874800007
19,482003 ,Baroda Chhedi,Jabalpur ,23.049765000000036,79.69894496700005
20,483119 ,Basendi,Jabalpur ,23.17612500000007,79.48354887500005
21,482001 ,Belkhadu,Jabalpur ,23.149730000000034,79.94482074000007
22,483119 ,Belkheda,Jabalpur ,23.17612500000007,79.48354887500005
23,483119 ,Bhaironghat Pipariya,Jabalpur ,23.17612500000007,79.48354887500005
24,483119 ,Bheeta,Jabalpur ,23.17612500000007,79.48354887500005
25,483053 ,Bheraghat,Jabalpur ,23.20989000000003,79.77713927800005
26,483119 ,Bhuwara,Jabalpur ,23.17612500000007,79.48354887500005
27,482020 ,Bilhari,Jabalpur ,23.118100592000076,79.98930000000007
28,483105 ,Boria,Jabalpur ,23.371559000000047,79.82753500000007
29,482003 ,Chargawan,Jabalpur ,23.049765000000036,79.69894496700005
30,483110 ,Chaurai Kala,Jabalpur ,23.23222000000004,80.37146371800003
31,483119 ,Chhaparhat,Jabalpur ,23.17612500000007,79.48354887500005
32,483220 ,Chhartarpur,Jabalpur ,23.30243500000006,80.07077874800007
33,482001 ,Civil Lines,Jabalpur ,23.149730000000034,79.94482074000007
34,483110 ,Dadargawan,Jabalpur ,23.23222000000004,80.37146371800003
35,482001 ,Dehri Khurd,Jabalpur ,23.149730000000034,79.94482074000007
36,483001 ,Deori Patpara,Jabalpur ,23.102175000000045,80.10621509500004
37,483001 ,Dhanpuri,Jabalpur ,23.102175000000045,80.10621509500004
38,482001 ,Dhanwahi,Jabalpur ,23.149730000000034,79.94482074000007
39,482003 ,Dharampura,Jabalpur ,23.049765000000036,79.69894496700005
